question_id,answer_id
1,1
1,2
1,3
2,4
2,5
2,6
3,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
5,15
6,16
6,17
6,18
7,19
7,20
7,21
8,22
8,23
8,24
9,25
9,26
9,27
9,28
10,29
10,30
10,31
10,32
11,33
11,34
11,35
12,36
12,37
12,38
13,39
13,40
13,41
14,42
14,43
14,44
15,45
15,46
15,47
16,48
16,49
16,50
16,51
17,52
17,53
17,54
18,55
18,56
18,57
19,58
19,59
19,60
20,61
20,62
20,63
21,64
21,65
21,66
22,67
22,68
22,69
23,70
23,71
23,72
24,73
24,74
24,75
24,76
25,77
25,78
25,79
26,80
26,81
26,82
27,83
27,84
27,85
28,86
28,87
28,88
29,89
29,90
29,91
29,92
1,93
